,CDU2KEROFL
2014-06-28 7:00,37
2014-06-29 7:00,33.5
2014-06-29 19:00,60
2014-06-29 22:00,60
2014-06-30 2:00,62
2014-06-30 9:00,62
2014-07-01 7:00,63
2014-07-02 14:00,62
2014-07-03 7:00,63
2014-07-04 7:00,63
2014-07-05 7:00,61
2014-07-06 7:00,62
2014-07-07 7:00,62
2014-07-07 23:00,63
2014-07-08 7:00,63
2014-07-09 7:00,62
2014-07-09 18:30,62
2014-07-10 17:00,64
2014-07-11 7:00,62
2014-07-12 7:00,65
2014-07-12 14:00,62
2014-07-13 7:00,63
2014-07-13 20:00,69
2014-07-13 23:55,65
2014-07-14 7:00,64
2014-07-15 7:00,64
2014-07-15 19:00,65
2014-07-16 7:00,63
2014-07-17 7:00,63
2014-07-17 18:00,49
2014-07-18 7:00,49
2014-07-18 19:00,47.5
2014-07-19 7:00,46
2014-07-20 7:00,47
2014-07-21 7:00,42
2014-07-22 7:00,42
2014-07-23 7:00,42.5
2014-07-23 19:00,47
2014-07-24 7:00,43.5
2014-07-24 19:00,41
2014-07-24 22:00,40.5
2014-07-25 14:00,33
2014-07-26 2:30,44
2014-07-26 7:00,43
2014-07-27 7:00,42
2014-07-27 17:00,42
2014-07-28 7:00,42
2014-07-29 7:00,42
2014-07-30 7:00,42.5
2014-07-31 14:00,43
2014-08-01 7:00,43
2014-08-02 7:00,43.5
2014-08-03 7:00,43
2014-08-04 2:30,36.5
2014-08-04 16:00,30.5
2014-08-05 7:00,38.5
2014-08-06 7:00,37
2014-08-07 7:00,37
2014-08-08 7:00,34.5
2014-08-08 21:00,42
2014-08-09 7:00,44
2014-08-10 14:00,44
2014-08-11 7:00,44
2014-08-12 7:00,44.5
2014-08-13 7:00,42
2014-08-14 17:00,46.5
2014-08-15 7:00,44
2014-08-16 7:00,43.5
2014-08-17 7:00,43.5
2014-08-18 7:00,44
2014-08-19 7:00,43
2014-08-20 7:00,43
2014-08-20 19:00,43
2014-08-21 7:00,42.5
2014-08-22 16:30,44
2014-08-23 7:00,45
2014-08-24 7:00,44
2014-08-25 7:00,44.5
2014-08-26 14:00,43
2014-08-27 17:00,33.5
2014-08-28 7:00,36.5
2014-08-29 14:00,34
2014-08-30 7:00,36.5
2014-08-30 19:00,58
2014-08-31 7:00,55
2014-09-01 7:00,55
2014-09-02 9:00,54
2014-09-03 7:00,53
2014-09-04 7:00,53
2014-09-04 20:00,53
2014-09-05 7:00,52.5
2014-09-06 7:00,52.5
2014-09-07 10:30,53
2014-09-08 7:00,52
2014-09-09 14:00,53
2014-09-10 7:00,32
2014-09-11 7:00,35
2014-09-12 7:00,37
2014-09-13 7:00,35.5
2014-09-14 7:00,35
2014-09-15 7:00,34
2014-09-15 14:00,33.5
2014-09-16 7:00,34.5
2014-09-17 7:00,34.5
2014-09-18 7:00,34.5
2014-09-19 7:00,34
2014-09-20 7:00,34
2014-09-21 8:00,37
2014-09-21 20:00,56.5
2014-09-22 0:20,56
2014-09-22 7:00,55.5
2014-09-23 7:00,55
2014-09-23 22:00,39.5
2014-09-24 7:00,37
2014-09-25 9:00,33
2014-09-26 7:00,37.5
2014-09-27 7:00,38
2014-09-28 7:00,38.5
2014-09-29 9:30,34.5
2014-09-29 18:00,39.5
2014-09-29 22:00,40
2014-09-30 1:30,42
2014-09-30 7:00,43.5
2014-10-01 7:00,35
2014-10-02 15:30,38.5
2014-10-03 7:00,38
2014-10-03 19:00,55
2014-10-04 7:00,53
2014-10-05 7:00,52.5
2014-10-06 7:00,51
2014-10-06 20:00,57
2014-10-07 0:00,64
2014-10-07 7:00,65
2014-10-08 7:00,63
2014-10-09 7:00,65
2014-10-09 16:00,64
2014-10-10 7:00,65
2014-10-11 7:00,65
2014-10-12 7:00,65
2014-10-12 14:00,43
2014-10-13 7:00,44.5
2014-10-14 7:00,39.5
2014-10-14 18:00,37
2014-10-14 22:00,37.5
2014-10-15 7:00,35
2014-10-15 20:30,42
2014-10-16 0:00,41.5
2014-10-16 7:00,42
2014-10-16 18:00,37.5
2014-10-16 22:00,41
2014-10-17 7:00,44
2014-10-17 14:00,42
2014-10-18 14:00,46
2014-10-19 7:00,46
2014-10-20 7:00,46.5
2014-10-21 7:00,46
2014-10-21 22:00,39
2014-10-22 7:00,37
2014-10-23 7:00,36
2014-10-23 11:00,42.5
2014-10-24 7:00,47
2014-10-25 7:00,45
2014-10-26 7:00,41
2014-10-26 14:00,38
2014-10-27 7:00,34.5
2014-10-28 7:00,35
2014-10-29 7:00,35
2014-10-29 22:00,36.5
2014-10-30 7:00,34.5
2014-10-31 7:00,35.5
2014-11-01 2:00,51
2014-11-01 7:00,51
2014-11-02 7:00,52.5
2014-11-02 19:00,57.5
2014-11-03 7:00,56
2014-11-04 7:00,56
2014-11-04 14:00,39.5
2014-11-05 0:00,44
2014-11-05 7:00,45
2014-11-06 7:00,43.5
2014-11-06 18:30,35
2014-11-07 7:00,34.5
2014-11-08 7:00,36
2014-11-09 7:00,34.5
2014-11-10 14:00,39
2014-11-11 7:00,38.5
2014-11-12 7:00,36.5
2014-11-13 7:00,37
2014-11-14 7:00,35
2014-11-15 7:00,35.5
2014-11-16 2:00,43
2014-11-16 7:00,44
2014-11-17 7:00,44
2014-11-17 22:00,44.5
2014-11-18 7:00,44
2014-11-19 7:00,43.5
2014-11-20 7:00,44
2014-11-20 18:30,36
2014-11-21 7:00,36
2014-11-22 7:00,37
2014-11-23 7:00,36.5
2014-11-24 7:00,36.5
2014-11-25 14:00,36
2014-11-25 21:00,38
2014-11-26 0:30,45.5
2014-11-26 7:00,45.5
2014-11-27 7:00,45
2014-11-28 7:00,43.5
2014-11-29 17:00,44
2014-11-29 22:00,43
2014-11-30 7:00,44
2014-11-30 12:00,37
2014-12-01 7:00,35
2014-12-02 7:00,35
2014-12-03 9:00,35
2014-12-04 2:00,45
2014-12-04 7:00,44.5
2014-12-05 7:00,45
2014-12-06 7:00,45
2014-12-06 20:30,68
2014-12-07 7:00,61
2014-12-08 7:00,60
2014-12-09 7:00,63
2014-12-10 7:00,64
2014-12-11 9:00,65
2014-12-12 7:00,63
2014-12-13 7:00,63
2014-12-14 7:00,64
2014-12-15 7:00,40
2014-12-15 16:30,35.5
2014-12-16 7:00,36
2014-12-16 11:00,43
2014-12-17 7:00,44
2014-12-18 7:00,44.5
2014-12-19 7:00,45
2014-12-20 7:00,44
2014-12-21 7:00,45
2014-12-22 7:00,44.5
2014-12-22 22:00,43
2014-12-23 7:00,41.5
2014-12-24 7:00,43
2014-12-25 7:00,42
2014-12-26 10:00,41
2014-12-26 23:50,35
2014-12-27 7:00,33.5
2014-12-28 7:00,34
2014-12-29 9:30,39.5
2014-12-30 7:00,35.5
2014-12-31 7:00,35
2014-12-31 11:00,44.5
2015-01-01 7:00,45
2015-01-02 7:00,44.5
2015-01-03 7:00,44
2015-01-04 7:00,42
2015-01-05 7:00,44
2015-01-05 16:00,37.5
2015-01-06 7:00,35
2015-01-07 7:00,44.5
2015-01-08 7:00,44
2015-01-09 7:00,41.5
2015-01-09 19:00,45
2015-01-10 7:00,43
2015-01-10 11:00,37.5
2015-01-11 7:00,37
2015-01-12 7:00,33.5
2015-01-13 14:00,37
2015-01-14 7:00,36
2015-01-15 7:00,35.5
2015-01-15 14:00,46
2015-01-16 14:00,41.5
2015-01-17 7:00,41
2015-01-17 11:00,61
2015-01-17 14:00,61
2015-01-17 22:00,61
2015-01-18 7:00,62
2015-01-19 7:00,62
2015-01-20 14:00,65
2015-01-21 7:00,63
2015-01-22 7:00,66
2015-01-23 14:00,65
2015-01-24 7:00,64
2015-01-25 7:00,62
2015-01-26 7:00,62
2015-01-27 7:00,61
2015-01-28 7:00,63
2015-01-28 17:00,45.5
2015-01-29 7:00,43.5
