,CDU2KEROFL
2016-01-31 7:00,67
2016-02-01 7:00,66
2016-02-02 7:00,64
2016-02-03 7:00,64
2016-02-04 7:00,63
2016-02-05 14:00,63
2016-02-05 22:00,62
2016-02-06 7:00,63
2016-02-07 7:00,62
2016-02-08 7:00,62
2016-02-09 7:00,63
2016-02-10 7:00,63
2016-02-10 17:00,44
2016-02-11 7:00,45
2016-02-12 7:00,45
2016-02-12 22:00,45
2016-02-13 7:00,43.5
2016-02-14 7:00,45.5
2016-02-15 7:00,45
2016-02-15 14:00,42
2016-02-16 7:00,45
2016-02-16 18:30,40
2016-02-17 7:00,37.5
2016-02-18 7:00,36
2016-02-19 0:00,44
2016-02-19 7:00,44
2016-02-19 14:00,44
2016-02-20 7:00,42
2016-02-21 7:00,42
2016-02-22 7:00,45
2016-02-23 7:00,40
2016-02-23 14:00,49.5
2016-02-24 7:00,52.5
2016-02-25 14:00,51.5
2016-02-26 7:00,53.5
2016-02-26 11:00,41.5
2016-02-27 7:00,37
2016-02-28 7:00,36.5
2016-02-28 18:00,37.5
2016-02-29 7:00,39
2016-03-01 7:00,36
2016-03-02 7:00,34.5
2016-03-03 7:00,34
2016-03-04 11:00,34.5
2016-03-05 7:00,37
2016-03-05 19:00,50
2016-03-06 14:00,53
2016-03-07 7:00,52
2016-03-07 13:00,61
2016-03-08 7:00,61
2016-03-09 11:00,58
2016-03-09 16:00,59
2016-03-09 20:00,61
2016-03-10 0:30,62
2016-03-10 14:00,59
2016-03-10 22:00,62
2016-03-11 1:40,66
2016-03-11 7:00,63
2016-03-12 14:00,62
2016-03-13 7:00,62
2016-04-15 18:00,53
2016-04-16 19:00,37.5
2016-04-17 7:00,38.5
2016-04-17 11:00,47.5
2016-04-18 7:00,44.5
2016-04-19 16:00,43
2016-04-20 7:00,42
2016-04-21 7:00,44
2016-04-22 7:00,45
2016-04-23 9:00,44.5
2016-04-23 22:00,53
2016-04-24 7:00,54
2016-04-25 7:00,61
2016-04-25 9:00,61
2016-04-25 22:00,62
2016-04-26 4:00,63
2016-04-26 14:00,64
2016-04-27 7:00,61
2016-04-28 7:00,61
2016-04-29 7:00,61
2016-04-30 7:00,58
2016-04-30 14:00,59
2016-04-30 22:00,61
2016-05-01 7:00,62
2016-05-02 7:00,62
2016-05-03 7:00,62
2016-05-04 6:00,64
2016-05-05 7:00,65
2016-05-06 7:00,64
2016-05-07 14:00,63
2016-05-08 7:00,64
2016-05-09 0:00,48
2016-05-09 7:00,47.5
2016-05-10 4:00,41
2016-05-10 14:00,42.5
2016-05-10 18:00,43
2016-05-10 22:00,55
2016-05-11 7:00,52
2016-05-12 7:00,49.5
2016-05-13 19:00,45
2016-05-14 7:00,43
2016-05-15 18:00,46
2016-05-16 7:00,47.5
2016-05-17 7:00,47.5
2016-05-18 7:00,48
2016-05-19 9:00,41
2016-05-19 16:30,42.5
2016-05-20 7:00,43.5
2016-05-21 16:00,46
2016-05-22 7:00,42
2016-05-23 7:00,41.5
2016-05-24 7:00,40.5
2016-05-24 18:00,47
2016-05-25 7:00,38.5
2016-05-26 7:00,40.5
2016-05-27 17:00,46.5
2016-05-28 7:00,45.5
2016-05-29 7:00,42.5
2016-05-30 14:00,41.5
2016-05-31 7:00,42.5
2016-06-01 7:00,42.5
2016-06-02 7:00,41
2016-06-03 7:00,45
2016-06-03 16:00,43
2016-06-04 7:00,42.5
2016-06-04 11:30,42
2016-06-05 7:00,42.5
2016-06-05 14:00,43
2016-06-06 14:00,42
2016-06-07 7:00,40
2016-06-08 7:00,41.5
2016-06-09 18:00,42
2016-06-10 7:00,39.5
2016-06-10 14:00,42.5
2016-06-10 22:00,43.5
2016-06-11 16:30,30
2016-06-11 22:00,30.5
2016-06-12 7:00,36
2016-06-13 7:00,38
2016-06-13 10:30,38
2016-06-13 14:00,40.5
2016-06-14 7:00,41.5
2016-06-15 7:00,39
2016-06-15 18:00,41.5
2016-06-15 20:30,38
2016-06-16 18:00,33
2016-06-17 7:00,35
2016-06-17 14:00,62
2016-06-18 1:30,64
2016-06-18 7:00,63
2016-06-19 7:00,62
2016-06-20 7:00,59
2016-06-20 12:00,64
2016-06-21 18:00,64
2016-06-22 7:00,61
2016-06-23 7:00,62
2016-06-24 4:00,44
2016-06-24 18:00,43.5
2016-06-25 7:00,41.5
2016-06-26 7:00,38.5
2016-06-27 10:00,35
2016-06-27 18:30,45.5
2016-06-28 7:00,41.5
2016-06-29 7:00,43
2016-06-30 7:00,43
2016-07-01 7:00,43.5
2016-07-02 7:00,44
2016-07-03 14:00,44.5
2016-07-04 7:00,44.5
2016-07-05 7:00,41.5
2016-07-05 14:00,37.5
2016-07-06 14:00,36.5
2016-07-07 7:00,35
2016-07-08 7:00,35
2016-07-08 11:45,46
2016-07-09 7:00,42.5
2016-07-09 18:00,46
2016-07-10 7:00,43
2016-07-10 14:00,46
2016-07-11 16:00,45.5
2016-07-12 7:00,43.5
2016-07-13 7:00,44
2016-07-13 17:00,46
2016-07-14 7:00,44
2016-07-15 7:00,43.5
2016-07-16 7:00,44
2016-07-17 7:00,43
2016-07-17 14:00,35.5
2016-07-18 14:00,36.5
2016-07-19 7:00,37.5
2016-07-20 7:00,36.5
2016-07-21 22:00,71
2016-07-22 2:30,64
2016-07-22 7:00,65
2016-07-22 19:00,64
2016-07-23 7:00,61
2016-07-24 7:00,63
2016-07-24 23:30,67
2016-07-25 7:00,64
2016-07-26 7:00,64
2016-07-26 20:00,63
2016-07-27 14:00,62
2016-07-28 7:00,66
2016-07-29 8:00,62
2016-07-29 16:00,63
2016-07-30 7:00,62
2016-07-31 7:00,62
2016-07-31 18:00,63
2016-08-01 7:00,64
2016-08-02 7:00,61
2016-08-03 7:00,61
2016-08-04 7:00,44.5
2016-08-05 7:00,44
2016-08-06 14:00,46
2016-08-07 7:00,44
2016-08-08 16:30,43
2016-08-09 7:00,42.5
2016-08-10 7:00,42
2016-08-11 16:00,44
2016-08-12 7:00,42
2016-08-13 7:00,43
2016-08-14 7:00,43.5
2016-08-14 17:30,45
2016-08-15 7:00,42
2016-08-16 10:00,42
2016-08-17 7:00,41
2016-08-18 7:00,40
2016-08-19 7:00,41
2016-08-19 17:00,44
2016-08-20 7:00,40.5
2016-08-20 14:00,40.5
2016-08-21 5:00,39.5
2016-08-21 14:00,41.5
2016-08-22 7:00,40.5
2016-08-22 14:00,41.5
2016-08-23 7:00,40.5
2016-08-24 7:00,46.5
2016-08-25 9:00,48
2016-08-25 19:00,37.5
2016-08-26 7:00,37
2016-08-27 9:00,39.5
2016-08-28 7:00,39
2016-08-29 7:00,39.5
2016-08-30 7:00,38
2016-08-30 18:30,40
2016-08-30 22:00,43
2016-08-31 7:00,41
2016-09-01 7:00,44
2016-09-02 7:00,45
2016-09-02 16:30,42.5
2016-09-03 9:00,41
2016-09-04 7:00,40
2016-09-04 14:00,41.5
2016-09-05 7:00,41.5
2016-09-05 22:00,38.5
2016-09-06 7:00,43.5
2016-09-07 7:00,44
2016-09-08 7:00,44
2016-09-09 15:30,42
2016-09-09 22:00,43.5
2016-09-10 7:00,42
2016-09-11 7:00,41.5
2016-09-12 7:00,42.5
2016-09-13 7:00,41.5
2016-09-14 9:00,41.5
2016-09-15 7:00,41
2016-09-16 8:00,42.5
2016-09-17 7:00,42
2016-09-18 8:00,41
2016-09-19 7:00,42
2016-09-19 14:00,41
2016-09-20 9:30,41
2016-09-21 7:00,42
2016-09-21 16:30,42
2016-09-22 7:00,41.5
2016-09-23 14:00,41
2016-09-23 22:00,42.5
2016-09-24 7:00,41
2016-09-25 7:00,42.5
2016-09-26 7:00,42.5
2016-09-27 9:00,41.5
2016-09-28 7:00,42.5
2016-09-28 14:00,41.5
2016-09-29 14:00,43
2016-09-30 7:00,45
2016-10-01 7:00,43
2016-10-02 7:00,44
2016-10-03 7:00,43
2016-10-03 14:00,46
2016-10-04 7:00,43
2016-10-05 14:00,43
2016-10-06 7:00,43
2016-10-07 9:00,44
2016-10-08 7:00,44
2016-10-09 9:00,44.5
2016-10-10 7:00,43
2016-10-11 7:00,43
2016-10-12 7:00,44
2016-10-13 7:00,43.5
2016-10-14 7:00,44
2016-10-14 22:00,41
2016-10-15 2:00,59
2016-10-15 7:00,61
2016-10-15 14:00,60
2016-10-15 19:00,64
2016-10-16 7:00,62
2016-10-17 7:00,63
2016-10-17 22:00,65
2016-10-18 7:00,66
2016-10-19 7:00,63
2016-10-20 7:00,64
2016-10-21 7:00,63
2016-10-22 9:00,62
2016-10-23 7:00,63
2016-10-24 7:00,63
2016-10-25 7:00,63
2016-10-25 16:00,68
2016-10-25 20:00,66
2016-10-26 7:00,65
2016-10-27 7:00,44.5
2016-10-27 22:00,46
2016-10-28 7:00,46
2016-10-28 17:00,39.5
2016-10-29 7:00,34.5
2016-10-30 7:00,34
2016-10-31 14:00,36
2016-10-31 19:00,43
2016-11-01 7:00,43
2016-11-02 7:00,44
2016-11-02 14:00,43.5
2016-11-03 7:00,44
2016-11-03 22:00,48
2016-11-04 7:00,47
2016-11-05 7:00,45
2016-11-06 7:00,44.5
2016-11-07 14:00,41
2016-11-08 7:00,42.5
2016-11-09 7:00,39
2016-11-09 14:00,41.5
2016-11-15 14:30,45
2016-11-16 14:00,34.5
